Accuracy,Recall,Precision,Fscore,AUC,dataset,WL,n,id
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_10.csv,14,2,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,2,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,2,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,2,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,2,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,2,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,3,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,3,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,3,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,3,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,3,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,5,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,5,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,5,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,5,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,5,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,2,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,2,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,2,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,2,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,2,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,3,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,3,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,3,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,3,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,3,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,5,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,5,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,5,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,5,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,5,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,2,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,2,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,2,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,2,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,2,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,3,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,3,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,3,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,3,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,3,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,5,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,5,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,5,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,5,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,5,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_10.csv,57,2,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_10.csv,57,2,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_10.csv,57,2,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_10.csv,57,2,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_10.csv,57,2,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_10.csv,29,2,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_10.csv,29,2,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_10.csv,29,2,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_10.csv,29,2,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_10.csv,29,2,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_10.csv,29,3,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_10.csv,29,3,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_10.csv,29,3,2
